2020-04-04 11:24:01.329 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-04-04 11:24:01.334 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-04-04 11:24:01.335 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-04 11:24:01.335 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-04 11:24:01.391 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-04 11:24:01.391 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 864 ms
2020-04-04 11:24:02.101 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-04-04 11:24:02.313 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-04-04 11:24:02.314 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-04-04 11:24:04.274 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-04 11:24:04.950 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
